"filename", "language", "JavaScript", "Prisma", "MS SQL", "JSON", "XML", "PostCSS", "JavaScript JSX", "TypeScript", "TypeScript JSX", "SCSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\axios.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dataProcessing.js", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -11
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dataTransformer.js", "JavaScript", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -17
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dateConvertor.js", "JavaScript", -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -5, -58
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\emotion.js", "JavaScript", -47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\MarkdownField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, -1, -16
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\Pattern.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -1, -12
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\Rule.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, -2, -17
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\render.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, 0, -4, -64
"c:\Users\New\Desktop\Personal Diary\frontend\src\utils\tagsHelper.js", "JavaScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\New\Desktop\Personal Diary\frontend\vercel.json", "JSON", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\New\Desktop\Personal Diary\frontend\vite.config.js", "JavaScript", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -17
"Total", "-", 1040, 66, 49, 2429, -176, -763, -2213, -86, -15, -44, -13, -1, -14, -187, 72
